interval_start_utc,interval_end_utc,respondent,coal,hydro,natural_gas,nuclear,other,petroleum,solar,wind
2023-01-14 00:00:00+00:00,2023-01-15 00:00:00+00:00,PACE,2644.1666666666666667,29.5416666666666667,1168.6250000000000000,0E-20,85.2083333333333333,0E-20,70.5000000000000000,1096.9583333333333333
2023-01-15 00:00:00+00:00,2023-01-16 00:00:00+00:00,PACE,2529.7083333333333333,33.2916666666666667,796.0833333333333333,0E-20,54.0416666666666667,0E-20,89.1666666666666667,455.6250000000000000
2023-01-16 00:00:00+00:00,2023-01-17 00:00:00+00:00,PACE,2567.4166666666666667,31.9583333333333333,637.3750000000000000,0E-20,70.5833333333333333,0E-20,68.7916666666666667,762.2500000000000000
2023-01-17 00:00:00+00:00,2023-01-18 00:00:00+00:00,PACE,3011.2500000000000000,25.7083333333333333,706.0000000000000000,0E-20,67.2083333333333333,0E-20,98.3333333333333333,117.9166666666666667
2023-01-18 00:00:00+00:00,2023-01-19 00:00:00+00:00,PACE,2182.8750000000000000,19.6666666666666667,701.8750000000000000,0E-20,54.7500000000000000,0E-20,228.1666666666666667,317.0000000000000000
2023-01-19 00:00:00+00:00,2023-01-20 00:00:00+00:00,PACE,1898.4166666666666667,31.5833333333333333,952.8333333333333333,0E-20,74.2916666666666667,0E-20,85.0000000000000000,1179.3750000000000000
2023-01-20 00:00:00+00:00,2023-01-21 00:00:00+00:00,PACE,3724.1250000000000000,28.8333333333333333,1066.2083333333333333,0E-20,79.5416666666666667,0E-20,94.3750000000000000,192.2916666666666667
2023-01-21 00:00:00+00:00,2023-01-22 00:00:00+00:00,PACE,3677.1250000000000000,30.3333333333333333,1360.0000000000000000,0E-20,104.0833333333333333,0E-20,165.2916666666666667,683.9583333333333333
2023-01-22 00:00:00+00:00,2023-01-23 00:00:00+00:00,PACE,3209.2916666666666667,34.5000000000000000,1228.2916666666666667,0E-20,77.7916666666666667,0E-20,136.4583333333333333,1258.9583333333333333
2023-01-23 00:00:00+00:00,2023-01-24 00:00:00+00:00,PACE,3770.2083333333333333,31.0416666666666667,1216.3333333333333333,0E-20,85.2083333333333333,0E-20,301.1250000000000000,351.9166666666666667
