interval_start_utc,interval_end_utc,respondent,load,load_forecast,net_generation,total_interchange
2023-02-12 00:00:00+00:00,2023-02-13 00:00:00+00:00,PACE,5710.7894736842105263,5908.1176470588235294,5809.7142857142857143,160.8181818181818182
2023-02-13 00:00:00+00:00,2023-02-14 00:00:00+00:00,PACE,6014.7333333333333333,6068.9333333333333333,5891.1428571428571429,-159.8750000000000000
2023-02-14 00:00:00+00:00,2023-02-15 00:00:00+00:00,PACE,6133.9285714285714286,6272.3000000000000000,6430.4761904761904762,621.0000000000000000
2023-02-15 00:00:00+00:00,2023-02-16 00:00:00+00:00,PACE,6247.1666666666666667,6534.4666666666666667,6067.7272727272727273,103.4000000000000000
2023-02-16 00:00:00+00:00,2023-02-17 00:00:00+00:00,PACE,6075.7692307692307692,6531.7857142857142857,6056.4000000000000000,-152.8333333333333333
2023-02-17 00:00:00+00:00,2023-02-18 00:00:00+00:00,PACE,6354.2666666666666667,6442.3636363636363636,6319.0909090909090909,165.7058823529411765
2023-02-18 00:00:00+00:00,2023-02-19 00:00:00+00:00,PACE,6146.9090909090909091,6151.4615384615384615,6071.0714285714285714,-103.5833333333333333
2023-02-19 00:00:00+00:00,2023-02-20 00:00:00+00:00,PACE,5998.5555555555555556,6020.8666666666666667,6319.6875000000000000,378.5000000000000000
2023-02-20 00:00:00+00:00,2023-02-21 00:00:00+00:00,PACE,6218.1666666666666667,6069.4666666666666667,6009.6470588235294118,-20.0000000000000000
2023-02-21 00:00:00+00:00,2023-02-22 00:00:00+00:00,PACE,6235.0625000000000000,6285.7058823529411765,6293.1875000000000000,92.6153846153846154
2023-02-22 00:00:00+00:00,2023-02-23 00:00:00+00:00,PACE,6302.2500000000000000,6403.1000000000000000,5785.6666666666666667,-511.2777777777777778
2023-02-23 00:00:00+00:00,2023-02-24 00:00:00+00:00,PACE,6319.2631578947368421,6595.4000000000000000,5677.2500000000000000,-673.1764705882352941
2023-02-24 00:00:00+00:00,2023-02-25 00:00:00+00:00,PACE,6104.3750000000000000,6541.6666666666666667,6877.2307692307692308,939.4375000000000000
2023-02-25 00:00:00+00:00,2023-02-26 00:00:00+00:00,PACE,5820.1250000000000000,6155.2222222222222222,6818.5714285714285714,642.8823529411764706
2023-02-26 00:00:00+00:00,2023-02-27 00:00:00+00:00,PACE,5786.0625000000000000,5988.5333333333333333,5721.0000000000000000,83.0666666666666667
2023-02-27 00:00:00+00:00,2023-02-28 00:00:00+00:00,PACE,6069.9000000000000000,6144.7777777777777778,6602.2857142857142857,655.2307692307692308
2023-02-28 00:00:00+00:00,2023-03-01 00:00:00+00:00,PACE,6034.2000000000000000,6237.6153846153846154,6270.7058823529411765,128.3684210526315789
2023-03-01 00:00:00+00:00,2023-03-02 00:00:00+00:00,PACE,6144.5263157894736842,6292.7000000000000000,5775.0714285714285714,-445.5000000000000000
2023-03-02 00:00:00+00:00,2023-03-03 00:00:00+00:00,PACE,6185.3076923076923077,6341.4736842105263158,5871.7647058823529412,-431.9333333333333333
2023-03-03 00:00:00+00:00,2023-03-04 00:00:00+00:00,PACE,6127.3125000000000000,6409.8333333333333333,6022.6666666666666667,-112.5384615384615385
2023-03-04 00:00:00+00:00,2023-03-05 00:00:00+00:00,PACE,6082.4444444444444444,5958.3846153846153846,5854.4166666666666667,-118.0000000000000000
2023-03-05 00:00:00+00:00,2023-03-06 00:00:00+00:00,PACE,5779.7058823529411765,5925.2631578947368421,5737.6923076923076923,-120.1875000000000000
2023-03-06 00:00:00+00:00,2023-03-07 00:00:00+00:00,PACE,6075.4000000000000000,6210.5714285714285714,5518.6666666666666667,-661.0833333333333333
2023-03-07 00:00:00+00:00,2023-03-08 00:00:00+00:00,PACE,6137.3333333333333333,6176.9000000000000000,6133.4444444444444444,0.75000000000000000000
2023-03-08 00:00:00+00:00,2023-03-09 00:00:00+00:00,PACE,6280.3529411764705882,6212.2500000000000000,5978.1875000000000000,-293.6666666666666667
2023-03-09 00:00:00+00:00,2023-03-10 00:00:00+00:00,PACE,6216.0833333333333333,6220.9333333333333333,6771.7142857142857143,412.3125000000000000
2023-03-10 00:00:00+00:00,2023-03-11 00:00:00+00:00,PACE,5985.1250000000000000,6099.4666666666666667,6170.5555555555555556,-119.1875000000000000
2023-03-11 00:00:00+00:00,2023-03-12 00:00:00+00:00,PACE,5740.0666666666666667,5790.2500000000000000,5536.1333333333333333,-204.7500000000000000
2023-03-12 00:00:00+00:00,2023-03-13 00:00:00+00:00,PACE,5634.4285714285714286,5591.7500000000000000,4910.8125000000000000,-674.6428571428571429
2023-03-13 00:00:00+00:00,2023-03-14 00:00:00+00:00,PACE,5632.6000000000000000,5849.8750000000000000,5087.0666666666666667,-723.1176470588235294
2023-03-14 00:00:00+00:00,2023-03-15 00:00:00+00:00,PACE,5608.0000000000000000,5728.6000000000000000,5918.1538461538461538,261.9285714285714286
2023-03-15 00:00:00+00:00,2023-03-16 00:00:00+00:00,PACE,5612.0000000000000000,5677.9375000000000000,5793.0000000000000000,-11.0000000000000000
2023-03-16 00:00:00+00:00,2023-03-17 00:00:00+00:00,PACE,5716.8181818181818182,5922.1176470588235294,5145.6923076923076923,-681.8823529411764706
2023-03-17 00:00:00+00:00,2023-03-18 00:00:00+00:00,PACE,5844.1538461538461538,5979.4705882352941176,5220.2666666666666667,-799.3157894736842105
2023-03-18 00:00:00+00:00,2023-03-19 00:00:00+00:00,PACE,5578.2666666666666667,5673.8750000000000000,5001.3076923076923077,-507.3000000000000000
2023-03-19 00:00:00+00:00,2023-03-20 00:00:00+00:00,PACE,5501.4285714285714286,5570.4736842105263158,5058.2631578947368421,-426.0714285714285714
2023-03-20 00:00:00+00:00,2023-03-21 00:00:00+00:00,PACE,5903.4705882352941176,5792.8750000000000000,5004.8461538461538462,-884.1578947368421053
2023-03-21 00:00:00+00:00,2023-03-22 00:00:00+00:00,PACE,5867.3333333333333333,5857.8181818181818182,5839.8947368421052632,-35.6250000000000000
2023-03-22 00:00:00+00:00,2023-03-23 00:00:00+00:00,PACE,6061.5000000000000000,5838.4000000000000000,4967.6153846153846154,-1043.8823529411764706
2023-03-23 00:00:00+00:00,2023-03-24 00:00:00+00:00,PACE,5977.2500000000000000,5871.6842105263157895,5539.5000000000000000,-393.5625000000000000
2023-03-24 00:00:00+00:00,2023-03-25 00:00:00+00:00,PACE,5697.2857142857142857,5998.6153846153846154,5392.6000000000000000,-515.0000000000000000
2023-03-25 00:00:00+00:00,2023-03-26 00:00:00+00:00,PACE,5678.9090909090909091,5799.7692307692307692,5628.1428571428571429,-155.1538461538461538
2023-03-26 00:00:00+00:00,2023-03-27 00:00:00+00:00,PACE,5727.6842105263157895,5790.0000000000000000,5004.1250000000000000,-681.0000000000000000
2023-03-27 00:00:00+00:00,2023-03-28 00:00:00+00:00,PACE,6040.8750000000000000,6055.5882352941176471,5163.0666666666666667,-978.1666666666666667
2023-03-28 00:00:00+00:00,2023-03-29 00:00:00+00:00,PACE,5932.5000000000000000,6064.5833333333333333,6095.9000000000000000,-73.0000000000000000
2023-03-29 00:00:00+00:00,2023-03-30 00:00:00+00:00,PACE,5785.9090909090909091,5853.5384615384615385,4991.1333333333333333,-756.8888888888888889
2023-03-30 00:00:00+00:00,2023-03-31 00:00:00+00:00,PACE,5965.7777777777777778,5785.7272727272727273,4954.8000000000000000,-907.4117647058823529
2023-03-31 00:00:00+00:00,2023-04-01 00:00:00+00:00,PACE,6094.8823529411764706,5817.3846153846153846,6092.1111111111111111,-42.5454545454545455
2023-04-01 00:00:00+00:00,2023-04-02 00:00:00+00:00,PACE,5639.3333333333333333,5484.8947368421052632,5867.0625000000000000,270.0769230769230769
2023-04-02 00:00:00+00:00,2023-04-03 00:00:00+00:00,PACE,5543.3684210526315789,5291.1666666666666667,5718.6875000000000000,167.3500000000000000
2023-04-03 00:00:00+00:00,2023-04-04 00:00:00+00:00,PACE,6006.6428571428571429,5822.2666666666666667,5030.4666666666666667,-1195.2666666666666667
2023-04-04 00:00:00+00:00,2023-04-05 00:00:00+00:00,PACE,6200.1578947368421053,6019.9444444444444444,5415.0000000000000000,-631.9411764705882353
2023-04-05 00:00:00+00:00,2023-04-06 00:00:00+00:00,PACE,5971.2727272727272727,5933.6470588235294118,5653.6111111111111111,-460.7142857142857143
2023-04-06 00:00:00+00:00,2023-04-07 00:00:00+00:00,PACE,5997.9230769230769231,5998.4705882352941176,6238.9444444444444444,268.7500000000000000
2023-04-07 00:00:00+00:00,2023-04-08 00:00:00+00:00,PACE,5709.8888888888888889,5810.9375000000000000,4758.8666666666666667,-841.0000000000000000
2023-04-08 00:00:00+00:00,2023-04-09 00:00:00+00:00,PACE,5296.1428571428571429,5373.0625000000000000,4291.6666666666666667,-950.1363636363636364
2023-04-09 00:00:00+00:00,2023-04-10 00:00:00+00:00,PACE,5175.3846153846153846,5197.8947368421052632,5037.0000000000000000,-193.6666666666666667
2023-04-10 00:00:00+00:00,2023-04-11 00:00:00+00:00,PACE,5423.5833333333333333,5442.4500000000000000,5495.9230769230769231,66.3333333333333333
2023-04-11 00:00:00+00:00,2023-04-12 00:00:00+00:00,PACE,5525.0000000000000000,5484.6875000000000000,4888.1428571428571429,-559.5625000000000000
2023-04-12 00:00:00+00:00,2023-04-13 00:00:00+00:00,PACE,5463.4375000000000000,5541.7692307692307692,4345.1764705882352941,-1047.9333333333333333
2023-04-13 00:00:00+00:00,2023-04-14 00:00:00+00:00,PACE,5432.6000000000000000,5595.5263157894736842,5295.7692307692307692,-261.1764705882352941
2023-04-14 00:00:00+00:00,2023-04-15 00:00:00+00:00,PACE,5549.0000000000000000,5638.5333333333333333,4814.5555555555555556,-828.8571428571428571
2023-04-15 00:00:00+00:00,2023-04-16 00:00:00+00:00,PACE,5311.7368421052631579,5414.3571428571428571,4718.1250000000000000,-436.2666666666666667
2023-04-16 00:00:00+00:00,2023-04-17 00:00:00+00:00,PACE,5192.6000000000000000,5246.0555555555555556,5081.0588235294117647,-100.1250000000000000
2023-04-17 00:00:00+00:00,2023-04-18 00:00:00+00:00,PACE,5424.6111111111111111,5476.2222222222222222,5195.8125000000000000,-91.6500000000000000
2023-04-18 00:00:00+00:00,2023-04-19 00:00:00+00:00,PACE,5398.6000000000000000,5542.5384615384615385,5016.2500000000000000,-523.6000000000000000
2023-04-19 00:00:00+00:00,2023-04-20 00:00:00+00:00,PACE,5629.7368421052631579,5490.6428571428571429,5926.6315789473684211,344.6470588235294118
2023-04-20 00:00:00+00:00,2023-04-21 00:00:00+00:00,PACE,5715.3888888888888889,5679.7333333333333333,5375.1538461538461538,-378.3076923076923077
